127.0.0.1 - - [08/Feb/2023:13:30:08 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [08/Feb/2023:13:30:10 +0900] "GET /web01/myproject/mobile.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Feb/2023:13:30:10 +0900] "GET /web01/mobile/galaxy.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Feb/2023:13:30:10 +0900] "GET /web01/mobile/tabs8.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Feb/2023:13:30:10 +0900] "GET /web01/mobile/watch.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Feb/2023:13:30:10 +0900] "GET /web01/mobile/buds2pro.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Feb/2023:13:30:10 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [08/Feb/2023:14:33:55 +0900] "GET /web01/myproject/mobile.html HTTP/1.1" 200 3191
0:0:0:0:0:0:0:1 - - [08/Feb/2023:14:34:10 +0900] "GET /web01/myproject/mobile.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Feb/2023:14:34:12 +0900] "GET /web01/myproject/mobile.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Feb/2023:14:34:18 +0900] "GET /web01/myproject/mobile.html HTTP/1.1" 200 3164
0:0:0:0:0:0:0:1 - - [08/Feb/2023:14:34:42 +0900] "GET /web01/myproject/mobile.html HTTP/1.1" 200 3165
0:0:0:0:0:0:0:1 - - [08/Feb/2023:14:35:06 +0900] "GET /web01/myproject/mobile.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Feb/2023:14:35:19 +0900] "GET /web01/myproject/mobile.html HTTP/1.1" 200 3166
0:0:0:0:0:0:0:1 - - [08/Feb/2023:14:35:20 +0900] "GET /web01/myproject/mobile.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Feb/2023:14:35:21 +0900] "GET /web01/myproject/mobile.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Feb/2023:14:35:21 +0900] "GET /web01/myproject/mobile.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Feb/2023:14:35:21 +0900] "GET /web01/myproject/mobile.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Feb/2023:14:35:22 +0900] "GET /web01/myproject/mobile.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Feb/2023:14:35:22 +0900] "GET /web01/myproject/mobile.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Feb/2023:14:35:22 +0900] "GET /web01/myproject/mobile.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Feb/2023:14:35:42 +0900] "GET /web01/myproject/mobile.html HTTP/1.1" 200 3165
0:0:0:0:0:0:0:1 - - [08/Feb/2023:14:36:13 +0900] "GET /web01/myproject/mobile.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Feb/2023:14:36:24 +0900] "GET /web01/myproject/mobile.html HTTP/1.1" 200 3165
0:0:0:0:0:0:0:1 - - [08/Feb/2023:14:36:38 +0900] "GET /web01/myproject/mobile.html HTTP/1.1" 200 3166
0:0:0:0:0:0:0:1 - - [08/Feb/2023:14:36:52 +0900] "GET /web01/myproject/mobile.html HTTP/1.1" 200 3165
0:0:0:0:0:0:0:1 - - [08/Feb/2023:14:37:04 +0900] "GET /web01/myproject/mobile.html HTTP/1.1" 200 3165
0:0:0:0:0:0:0:1 - - [08/Feb/2023:14:37:06 +0900] "GET /web01/myproject/mobile.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Feb/2023:14:37:10 +0900] "GET /web01/myproject/mobile.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Feb/2023:14:37:42 +0900] "GET /web01/myproject/mobile.html HTTP/1.1" 200 3157
0:0:0:0:0:0:0:1 - - [08/Feb/2023:14:39:26 +0900] "GET /web01/myproject/mobile.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Feb/2023:14:39:38 +0900] "GET /web01/myproject/mobile.html HTTP/1.1" 200 3157
0:0:0:0:0:0:0:1 - - [08/Feb/2023:14:39:43 +0900] "GET /web01/myproject/mobile.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Feb/2023:14:40:22 +0900] "GET /web01/myproject/mobile.html HTTP/1.1" 200 3163
0:0:0:0:0:0:0:1 - - [08/Feb/2023:14:40:57 +0900] "GET /web01/myproject/mobile.html HTTP/1.1" 200 3163
0:0:0:0:0:0:0:1 - - [08/Feb/2023:14:41:22 +0900] "GET /web01/myproject/mobile.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Feb/2023:14:41:24 +0900] "GET /web01/myproject/mobile.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Feb/2023:14:41:26 +0900] "GET /web01/myproject/mobile.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Feb/2023:14:41:26 +0900] "GET /web01/myproject/mobile.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Feb/2023:14:41:26 +0900] "GET /web01/myproject/mobile.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Feb/2023:14:41:26 +0900] "GET /web01/myproject/mobile.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Feb/2023:14:41:26 +0900] "GET /web01/myproject/mobile.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Feb/2023:14:41:26 +0900] "GET /web01/myproject/mobile.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Feb/2023:14:44:12 +0900] "GET /web01/myproject/mobile.html HTTP/1.1" 200 3163
0:0:0:0:0:0:0:1 - - [08/Feb/2023:14:44:14 +0900] "GET /web01/myproject/mobile.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Feb/2023:14:44:33 +0900] "GET /web01/myproject/mobile.html HTTP/1.1" 200 3163
0:0:0:0:0:0:0:1 - - [08/Feb/2023:14:44:41 +0900] "GET /web01/myproject/mobile.html HTTP/1.1" 200 3163
0:0:0:0:0:0:0:1 - - [08/Feb/2023:14:46:21 +0900] "GET /web01/myproject/mobile.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Feb/2023:14:51:33 +0900] "GET /web01/myproject/mobile.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Feb/2023:14:52:00 +0900] "GET /web01/myproject/mobile.html HTTP/1.1" 200 3162
0:0:0:0:0:0:0:1 - - [08/Feb/2023:14:52:00 +0900] "GET /web01/myproject/mobile.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Feb/2023:14:52:08 +0900] "GET /web01/myproject/mobile.html HTTP/1.1" 200 3162
0:0:0:0:0:0:0:1 - - [08/Feb/2023:14:52:13 +0900] "GET /web01/myproject/mobile.html HTTP/1.1" 200 3163
0:0:0:0:0:0:0:1 - - [08/Feb/2023:14:52:19 +0900] "GET /web01/myproject/mobile.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Feb/2023:14:52:25 +0900] "GET /web01/myproject/mobile.html HTTP/1.1" 200 3163
0:0:0:0:0:0:0:1 - - [08/Feb/2023:14:52:45 +0900] "GET /web01/myproject/mobile.html HTTP/1.1" 200 3163
0:0:0:0:0:0:0:1 - - [08/Feb/2023:14:52:47 +0900] "GET /web01/myproject/mobile.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Feb/2023:14:52:47 +0900] "GET /web01/myproject/mobile.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Feb/2023:14:53:18 +0900] "GET /web01/myproject/mobile.html HTTP/1.1" 200 3164
0:0:0:0:0:0:0:1 - - [08/Feb/2023:14:53:23 +0900] "GET /web01/myproject/mobile.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Feb/2023:14:53:34 +0900] "GET /web01/myproject/mobile.html HTTP/1.1" 200 3163
0:0:0:0:0:0:0:1 - - [08/Feb/2023:14:53:43 +0900] "GET /web01/myproject/mobile.html HTTP/1.1" 200 3161
0:0:0:0:0:0:0:1 - - [08/Feb/2023:14:54:05 +0900] "GET /web01/myproject/mobile.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Feb/2023:14:54:10 +0900] "GET /web01/myproject/mobile.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Feb/2023:14:54:11 +0900] "GET /web01/myproject/mobile.html HTTP/1.1" 200 3162
0:0:0:0:0:0:0:1 - - [08/Feb/2023:15:33:03 +0900] "GET /web01/myproject/mobile.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Feb/2023:15:33:03 +0900] "GET /web01/mobile/tabs8.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Feb/2023:15:33:03 +0900] "GET /web01/mobile/galaxy.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Feb/2023:15:33:03 +0900] "GET /web01/mobile/buds2pro.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Feb/2023:15:33:03 +0900] "GET /web01/mobile/watch.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Feb/2023:15:33:22 +0900] "GET /web01/mobile/galaxy.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Feb/2023:15:33:22 +0900] "GET /web01/mobile/watch.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Feb/2023:15:33:22 +0900] "GET /web01/mobile/buds2pro.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Feb/2023:15:33:22 +0900] "GET /web01/mobile/tabs8.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Feb/2023:15:33:24 +0900] "GET /web01/myproject/mobile.html HTTP/1.1" 200 3141
0:0:0:0:0:0:0:1 - - [08/Feb/2023:15:33:40 +0900] "GET /web01/myproject/mobile.html HTTP/1.1" 200 3162
0:0:0:0:0:0:0:1 - - [08/Feb/2023:15:33:40 +0900] "GET /web01/mobile/galaxy.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Feb/2023:15:33:40 +0900] "GET /web01/mobile/tabs8.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Feb/2023:15:33:40 +0900] "GET /web01/mobile/watch.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Feb/2023:15:33:40 +0900] "GET /web01/mobile/buds2pro.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Feb/2023:15:33:41 +0900] "GET /web01/myproject/mobile.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Feb/2023:15:34:54 +0900] "GET /web01/myproject/mobile.html HTTP/1.1" 200 3162
0:0:0:0:0:0:0:1 - - [08/Feb/2023:15:34:55 +0900] "GET /web01/myproject/mobile.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Feb/2023:15:36:55 +0900] "GET /web01/myproject/mobile.html HTTP/1.1" 200 3126
0:0:0:0:0:0:0:1 - - [08/Feb/2023:15:36:55 +0900] "GET /web01/mobile/galaxy.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Feb/2023:15:36:55 +0900] "GET /web01/mobile/tabs8.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Feb/2023:15:36:55 +0900] "GET /web01/mobile/watch.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Feb/2023:15:36:55 +0900] "GET /web01/mobile/buds2pro.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Feb/2023:15:37:40 +0900] "GET /web01/myproject/mobile.html HTTP/1.1" 200 3128
0:0:0:0:0:0:0:1 - - [08/Feb/2023:15:37:40 +0900] "GET /web01/mobile/galaxy.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Feb/2023:15:37:40 +0900] "GET /web01/mobile/tabs8.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Feb/2023:15:37:40 +0900] "GET /web01/mobile/buds2pro.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Feb/2023:15:37:40 +0900] "GET /web01/mobile/watch.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Feb/2023:15:39:29 +0900] "GET /web01/myproject/mobile.html HTTP/1.1" 200 3151
0:0:0:0:0:0:0:1 - - [08/Feb/2023:15:39:29 +0900] "GET /web01/mobile/galaxy.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Feb/2023:15:39:29 +0900] "GET /web01/mobile/tabs8.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Feb/2023:15:39:29 +0900] "GET /web01/mobile/buds2pro.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Feb/2023:15:39:29 +0900] "GET /web01/mobile/watch.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Feb/2023:15:39:36 +0900] "GET /web01/myproject/mobile.html HTTP/1.1" 200 3152
0:0:0:0:0:0:0:1 - - [08/Feb/2023:15:48:48 +0900] "GET /web01/ch04/css_color.html HTTP/1.1" 200 505
0:0:0:0:0:0:0:1 - - [08/Feb/2023:15:48:48 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [08/Feb/2023:15:48:50 +0900] "GET /web01/ch04/css_color.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Feb/2023:15:49:19 +0900] "GET /web01/ch04/css_color.html HTTP/1.1" 200 543
0:0:0:0:0:0:0:1 - - [08/Feb/2023:15:49:35 +0900] "GET /web01/ch04/css_color.html HTTP/1.1" 200 539
0:0:0:0:0:0:0:1 - - [08/Feb/2023:15:57:03 +0900] "GET /web01/ch04/color-style.html HTTP/1.1" 200 895
0:0:0:0:0:0:0:1 - - [08/Feb/2023:15:58:25 +0900] "GET /web01/ch04/color-style.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Feb/2023:15:58:28 +0900] "GET /web01/ch04/color-style.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Feb/2023:15:59:32 +0900] "GET /web01/ch04/color-style.html HTTP/1.1" 200 1054
0:0:0:0:0:0:0:1 - - [08/Feb/2023:16:01:11 +0900] "GET /web01/ch04/color-style.html HTTP/1.1" 200 1272
0:0:0:0:0:0:0:1 - - [08/Feb/2023:16:01:17 +0900] "GET /web01/ch04/color-style.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Feb/2023:16:01:18 +0900] "GET /web01/ch04/color-style.html HTTP/1.1" 304 -
