127.0.0.1 - - [27/Mar/2023:17:06:52 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [27/Mar/2023:17:06:54 +0900] "GET /jsp02/hyehwaPC/Index2.jsp HTTP/1.1" 200 13073
0:0:0:0:0:0:0:1 - - [27/Mar/2023:17:06:54 +0900] "GET /jsp02/include/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Mar/2023:17:06:54 +0900] "GET /jsp02/include/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Mar/2023:17:06:54 +0900] "GET /jsp02/include/jquery-3.6.3.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Mar/2023:17:06:54 +0900] "GET /jsp02/picture/station1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Mar/2023:17:06:54 +0900] "GET /jsp02/food/rice.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Mar/2023:17:06:54 +0900] "GET /jsp02/food/soup.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Mar/2023:17:06:54 +0900] "GET /jsp02/food/noodle.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Mar/2023:17:06:54 +0900] "GET /jsp02/food/seafood.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Mar/2023:17:06:54 +0900] "GET /jsp02/food/meat.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Mar/2023:17:06:54 +0900] "GET /jsp02/food/pizza.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Mar/2023:17:06:54 +0900] "GET /jsp02/food/snack.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Mar/2023:17:06:54 +0900] "GET /jsp02/food/burger.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Mar/2023:17:06:54 +0900] "GET /jsp02/food/france.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Mar/2023:17:06:54 +0900] "GET /jsp02/food/steak.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Mar/2023:17:06:54 +0900] "GET /jsp02/food/indo.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Mar/2023:17:06:54 +0900] "GET /jsp02/food/sushi.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Mar/2023:17:06:54 +0900] "GET /jsp02/food/china2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Mar/2023:17:06:54 +0900] "GET /jsp02/food/vietnam.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Mar/2023:17:06:54 +0900] "GET /jsp02/food/beer2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Mar/2023:17:06:54 +0900] "GET /jsp02/food/cocktail.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Mar/2023:17:06:54 +0900] "GET /jsp02/food/rice2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Mar/2023:17:06:54 +0900] "GET /jsp02/food/cartbar.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Mar/2023:17:06:54 +0900] "GET /jsp02/food/sake.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Mar/2023:17:08:36 +0900] "GET /jsp02/hyehwaPC/Index2.jsp HTTP/1.1" 200 13073
0:0:0:0:0:0:0:1 - - [27/Mar/2023:17:09:27 +0900] "GET /jsp02/hyehwaPC/Index2.jsp HTTP/1.1" 200 13073
0:0:0:0:0:0:0:1 - - [27/Mar/2023:17:10:22 +0900] "GET /jsp02/hyehwaPC/Index2.jsp HTTP/1.1" 200 13054
0:0:0:0:0:0:0:1 - - [27/Mar/2023:17:11:31 +0900] "GET /jsp02/hyehwaPC/Index2.jsp HTTP/1.1" 200 13053
0:0:0:0:0:0:0:1 - - [27/Mar/2023:17:11:42 +0900] "GET /jsp02/hyehwaPC/Index2.jsp HTTP/1.1" 200 13054
0:0:0:0:0:0:0:1 - - [27/Mar/2023:17:11:55 +0900] "GET /jsp02/hyehwaPC/Index2.jsp HTTP/1.1" 200 13053
0:0:0:0:0:0:0:1 - - [27/Mar/2023:17:12:10 +0900] "GET /jsp02/hyehwaPC/Index2.jsp HTTP/1.1" 200 13051
0:0:0:0:0:0:0:1 - - [27/Mar/2023:17:12:27 +0900] "GET /jsp02/hyehwaPC/Index2.jsp HTTP/1.1" 200 13052
0:0:0:0:0:0:0:1 - - [27/Mar/2023:17:12:38 +0900] "GET /jsp02/hyehwaPC/Index2.jsp HTTP/1.1" 200 13052
0:0:0:0:0:0:0:1 - - [27/Mar/2023:17:12:51 +0900] "GET /jsp02/hyehwaPC/Index2.jsp HTTP/1.1" 200 13052
0:0:0:0:0:0:0:1 - - [27/Mar/2023:17:13:39 +0900] "GET /jsp02/hyehwaPC/Index2.jsp HTTP/1.1" 200 13051
0:0:0:0:0:0:0:1 - - [27/Mar/2023:17:13:53 +0900] "GET /jsp02/hyehwaPC/Index2.jsp HTTP/1.1" 200 13051
