127.0.0.1 - - [14/Apr/2023:00:25:35 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [14/Apr/2023:00:25:37 +0900] "GET /jsp02/hyehwaPC/Index2.jsp HTTP/1.1" 200 8678
0:0:0:0:0:0:0:1 - - [14/Apr/2023:00:25:37 +0900] "GET /jsp02/include/css/bootstrap.css HTTP/1.1" 200 205484
0:0:0:0:0:0:0:1 - - [14/Apr/2023:00:25:37 +0900] "GET /jsp02/include/jquery-3.6.3.min.js HTTP/1.1" 200 89947
0:0:0:0:0:0:0:1 - - [14/Apr/2023:00:25:37 +0900] "GET /jsp02/include/js/bootstrap.js HTTP/1.1" 200 148892
0:0:0:0:0:0:0:1 - - [14/Apr/2023:00:25:37 +0900] "GET /jsp02/hyehwaStyle/index2_style.css HTTP/1.1" 200 6768
0:0:0:0:0:0:0:1 - - [14/Apr/2023:00:25:37 +0900] "GET /jsp02/picture/station1.jpg HTTP/1.1" 200 105832
0:0:0:0:0:0:0:1 - - [14/Apr/2023:00:25:37 +0900] "GET /jsp02/food/rice.jpg HTTP/1.1" 200 114122
0:0:0:0:0:0:0:1 - - [14/Apr/2023:00:25:37 +0900] "GET /jsp02/food/soup.jpg HTTP/1.1" 200 78311
0:0:0:0:0:0:0:1 - - [14/Apr/2023:00:25:37 +0900] "GET /jsp02/food/meat.jpg HTTP/1.1" 200 86825
0:0:0:0:0:0:0:1 - - [14/Apr/2023:00:25:37 +0900] "GET /jsp02/food/seafood.jpg HTTP/1.1" 200 103509
0:0:0:0:0:0:0:1 - - [14/Apr/2023:00:25:37 +0900] "GET /jsp02/food/snack.jpg HTTP/1.1" 200 84096
0:0:0:0:0:0:0:1 - - [14/Apr/2023:00:25:37 +0900] "GET /jsp02/food/burger.jpg HTTP/1.1" 200 74170
0:0:0:0:0:0:0:1 - - [14/Apr/2023:00:25:37 +0900] "GET /jsp02/food/pizza.jpg HTTP/1.1" 200 433219
0:0:0:0:0:0:0:1 - - [14/Apr/2023:00:25:37 +0900] "GET /jsp02/food/noodle.jpg HTTP/1.1" 200 32816
0:0:0:0:0:0:0:1 - - [14/Apr/2023:00:25:37 +0900] "GET /jsp02/food/france.jpg HTTP/1.1" 200 84124
0:0:0:0:0:0:0:1 - - [14/Apr/2023:00:25:37 +0900] "GET /jsp02/food/steak3.jpg HTTP/1.1" 200 76356
0:0:0:0:0:0:0:1 - - [14/Apr/2023:00:25:37 +0900] "GET /jsp02/food/sushi.jpg HTTP/1.1" 200 102140
0:0:0:0:0:0:0:1 - - [14/Apr/2023:00:25:37 +0900] "GET /jsp02/food/china2.jpg HTTP/1.1" 200 83291
0:0:0:0:0:0:0:1 - - [14/Apr/2023:00:25:37 +0900] "GET /jsp02/food/indo.jpg HTTP/1.1" 200 325881
0:0:0:0:0:0:0:1 - - [14/Apr/2023:00:25:37 +0900] "GET /jsp02/food/vietnam.jpg HTTP/1.1" 200 72534
0:0:0:0:0:0:0:1 - - [14/Apr/2023:00:25:37 +0900] "GET /jsp02/food/beer2.jpg HTTP/1.1" 200 54115
0:0:0:0:0:0:0:1 - - [14/Apr/2023:00:25:37 +0900] "GET /jsp02/food/cocktail.jpg HTTP/1.1" 200 78198
0:0:0:0:0:0:0:1 - - [14/Apr/2023:00:25:37 +0900] "GET /jsp02/food/rice2.jpg HTTP/1.1" 200 49784
0:0:0:0:0:0:0:1 - - [14/Apr/2023:00:25:37 +0900] "GET /jsp02/food/sake.jpg HTTP/1.1" 200 112851
0:0:0:0:0:0:0:1 - - [14/Apr/2023:00:25:37 +0900] "GET /jsp02/food/cartbar.jpg HTTP/1.1" 200 68290
0:0:0:0:0:0:0:1 - - [14/Apr/2023:00:25:37 +0900] "GET /jsp02/food/coffee.jpg HTTP/1.1" 200 89610
0:0:0:0:0:0:0:1 - - [14/Apr/2023:00:25:37 +0900] "GET /jsp02/food/bakery.jpg HTTP/1.1" 200 108847
0:0:0:0:0:0:0:1 - - [14/Apr/2023:00:25:37 +0900] "GET /jsp02/food/icecream.jpg HTTP/1.1" 200 70999
0:0:0:0:0:0:0:1 - - [14/Apr/2023:00:25:37 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [14/Apr/2023:00:25:40 +0900] "GET /jsp02/hyehwa/login.jsp HTTP/1.1" 200 2793
0:0:0:0:0:0:0:1 - - [14/Apr/2023:00:25:46 +0900] "POST /jsp02/hyehwa_servlet/login.do HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Apr/2023:00:25:46 +0900] "GET /jsp02/hyehwaPC/Index2.jsp HTTP/1.1" 200 8678
